cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
1,1,1843667466,285923886,173175105,173175105_1843667466_285923886,True,62.206,Queens Road,residential
1,2,285923886,174778835,573325161,573325161_174778835_285923886,True,79.02000000000001,Bridges Road,primary
1,3,174778835,1843667444,255164744,255164744_174778835_1843667444,True,279.447,Bridges Road,primary
1,4,1843667444,286118915,173577901,173577901_1843667444_286118915,True,121.724,Longworth Avenue,residential
1,5,286118915,286119557,173577901,173577901_286118915_286119557,True,9.453,Longworth Avenue,residential
1,6,286119557,286119396,173577854,173577854_286119396_286119557,True,175.032,Lille Street,residential
1,7,286119396,2063026294,173159998,173159998_2063026294_286119396,True,102.417,Sketchley Parade,residential
1,8,2063026294,286118961,173159998,173159998_2063026294_286118961,True,43.644000000000005,Sketchley Parade,residential
1,9,286118961,2063026286,261166338,261166338_2063026286_286118961,True,104.62,Jellicoe Parade,residential
1,10,2063026286,1839861589,261166338,261166338_1839861589_2063026286,True,104.734,Jellicoe Parade,residential
1,11,1839861589,285923598,"[212658680, 261166338, 30533989]","[212658680, 261166338, 30533989]_1839861589_285923598",True,285.79699999999997,"['Russell Road', 'Jellicoe Parade']",residential
1,12,285923598,285923803,212658680,212658680_285923598_285923803,True,74.805,Russell Road,residential
1,13,285923803,285923802,212658680,212658680_285923802_285923803,True,218.354,Russell Road,residential
1,14,285923802,1843667409,212658680,212658680_1843667409_285923802,True,184.49099999999999,Russell Road,residential
1,15,1843667409,1843667402,315564684,315564684_1843667402_1843667409,True,39.47,Royal Place,secondary
1,16,1843667402,285923813,315564684,315564684_1843667402_285923813,True,83.27000000000001,Royal Place,secondary
1,17,285923813,285923628,750047501,750047501_285923628_285923813,True,51.643,Lambton Road,primary
1,18,285923628,7013608463,1140387819,1140387819_285923628_7013608463,True,9.421,Lambton Road,secondary
1,19,7013608463,417729871,888013810,888013810_417729871_7013608463,True,43.214,Lambton Road,primary
1,20,417729871,285923628,454125585,454125585_285923628_417729871,True,43.364000000000004,Alma Road,primary
1,21,285923628,285923813,750047501,750047501_285923628_285923813,True,51.643,Lambton Road,primary
1,22,285923813,1843667402,315564684,315564684_1843667402_285923813,True,83.27000000000001,Royal Place,secondary
1,23,1843667402,1843667409,315564684,315564684_1843667402_1843667409,True,39.47,Royal Place,secondary
1,24,1843667409,3216916600,607730836,607730836_1843667409_3216916600,True,97.83099999999999,Royal Street,secondary
1,25,3216916600,3216916599,315564683,315564683_3216916599_3216916600,True,8.148000000000001,,secondary
1,26,3216916599,285923815,1221729712,1221729712_285923815_3216916599,True,7.8260000000000005,,secondary
1,27,285923815,285923825,"[883007255, 1221729711]","[883007255, 1221729711]_285923815_285923825",True,114.721,Royal Street,secondary
1,28,285923825,285923820,303560142,303560142_285923820_285923825,True,56.423,Royal Street,secondary
